@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
121,11,2,82,119,0.40796,0.846154,0.11828,0.846154,0.88172,0.207547,0.434579,1.947064,0.000003
122,11,2,81,120,0.402985,0.846154,0.119565,0.846154,0.880435,0.209524,0.429907,1.968227,0.000003
123,11,2,80,121,0.39801,0.846154,0.120879,0.846154,0.879121,0.211538,0.425234,1.989856,0.000004
124,11,2,79,122,0.393035,0.846154,0.122222,0.846154,0.877778,0.213592,0.420561,2.011966,0.000004
125,11,2,78,123,0.38806,0.846154,0.123596,0.846154,0.876404,0.215686,0.415888,2.034572,0.000005
126,11,2,77,124,0.383085,0.846154,0.125,0.846154,0.875,0.217822,0.411215,2.057692,0.000005
127,11,2,76,125,0.378109,0.846154,0.126437,0.846154,0.873563,0.22,0.406542,2.081344,0.000005
128,11,2,75,126,0.373134,0.846154,0.127907,0.846154,0.872093,0.222222,0.401869,2.105546,0.000005
129,11,2,74,127,0.368159,0.846154,0.129412,0.846154,0.870588,0.22449,0.397196,2.130317,0.000005
130,11,2,73,128,0.363184,0.846154,0.130952,0.846154,0.869048,0.226804,0.392523,2.155678,0.000007
131,11,2,72,129,0.358209,0.846154,0.13253,0.846154,0.86747,0.229167,0.38785,2.18165,0.000007
132,11,2,71,130,0.353234,0.846154,0.134146,0.846154,0.865854,0.231579,0.383178,2.208255,0.000008
133,11,2,70,131,0.348259,0.846154,0.135802,0.846154,0.864198,0.234043,0.378505,2.235518,0.000008
134,11,2,69,132,0.343284,0.846154,0.1375,0.846154,0.8625,0.236559,0.373832,2.263462,0.000008
135,11,2,68,133,0.338308,0.846154,0.139241,0.846154,0.860759,0.23913,0.369159,2.292113,0.000008
136,11,2,67,134,0.333333,0.846154,0.141026,0.846154,0.858974,0.241758,0.364486,2.321499,0.000009
137,11,2,66,135,0.328358,0.846154,0.142857,0.846154,0.857143,0.244444,0.359813,2.351648,0.000011
138,11,2,65,136,0.323383,0.846154,0.144737,0.846154,0.855263,0.247191,0.35514,2.382591,0.000012
139,11,2,64,137,0.318408,0.846154,0.146667,0.846154,0.853333,0.25,0.350467,2.414359,0.000012
140,11,2,63,138,0.313433,0.846154,0.148649,0.846154,0.851351,0.252874,0.345794,2.446985,0.000013
141,11,2,62,139,0.308458,0.846154,0.150685,0.846154,0.849315,0.255814,0.341121,2.480506,0.000014
142,11,2,61,140,0.303483,0.846154,0.152778,0.846154,0.847222,0.258824,0.336449,2.514957,0.000016
143,11,2,60,141,0.298507,0.846154,0.15493,0.846154,0.84507,0.261905,0.331776,2.550379,0.000018
144,11,2,59,142,0.293532,0.846154,0.157143,0.846154,0.842857,0.26506,0.327103,2.586813,0.000019
145,11,2,58,143,0.288557,0.846154,0.15942,0.846154,0.84058,0.268293,0.32243,2.624303,0.000022
146,11,2,57,144,0.283582,0.846154,0.161765,0.846154,0.838235,0.271605,0.317757,2.662896,0.000022
147,11,2,56,145,0.278607,0.846154,0.164179,0.846154,0.835821,0.275,0.313084,2.702641,0.000025
148,11,2,55,146,0.273632,0.846154,0.166667,0.846154,0.833333,0.278481,0.308411,2.74359,0.000025
149,11,2,54,147,0.268657,0.846154,0.169231,0.846154,0.830769,0.282051,0.303738,2.785799,0.000026
150,11,2,53,148,0.263682,0.846154,0.171875,0.846154,0.828125,0.285714,0.299065,2.829327,0.000028
151,11,2,52,149,0.258706,0.846154,0.174603,0.846154,0.825397,0.289474,0.294393,2.874237,0.000028
152,11,2,51,150,0.253731,0.846154,0.177419,0.846154,0.822581,0.293333,0.28972,2.920596,0.000029
153,11,2,50,151,0.248756,0.846154,0.180328,0.846154,0.819672,0.297297,0.285047,2.968474,0.000039
154,11,2,49,152,0.243781,0.846154,0.183333,0.846154,0.816667,0.30137,0.280374,3.017949,0.000049
155,11,2,48,153,0.238806,0.846154,0.186441,0.846154,0.813559,0.305556,0.275701,3.0691,0.000061
156,11,2,47,154,0.233831,0.846154,0.189655,0.846154,0.810345,0.309859,0.271028,3.122016,0.000062
157,11,2,46,155,0.228856,0.846154,0.192982,0.846154,0.807018,0.314286,0.266355,3.176788,0.000064
158,11,2,45,156,0.223881,0.846154,0.196429,0.846154,0.803571,0.318841,0.261682,3.233516,0.000067
159,11,2,44,157,0.218905,0.846154,0.2,0.846154,0.8,0.323529,0.257009,3.292308,0.000079
160,11,2,43,158,0.21393,0.846154,0.203704,0.846154,0.796296,0.328358,0.252336,3.353276,0.000084
161,11,2,42,159,0.208955,0.846154,0.207547,0.846154,0.792453,0.333333,0.247664,3.416546,0.00009
162,11,2,41,160,0.20398,0.846154,0.211538,0.846154,0.788462,0.338462,0.242991,3.482249,0.000127
163,11,2,40,161,0.199005,0.846154,0.215686,0.846154,0.784314,0.34375,0.238318,3.550528,0.000136
164,11,2,39,162,0.19403,0.846154,0.22,0.846154,0.78,0.349206,0.233645,3.621538,0.000139
165,11,2,38,163,0.189055,0.846154,0.22449,0.846154,0.77551,0.354839,0.228972,3.695447,0.00019
166,11,2,37,164,0.18408,0.846154,0.229167,0.846154,0.770833,0.360656,0.224299,3.772436,0.0002
167,11,2,36,165,0.179104,0.846154,0.234043,0.846154,0.765957,0.366667,0.219626,3.8527,0.00025
168,11,2,35,166,0.174129,0.846154,0.23913,0.846154,0.76087,0.372881,0.214953,3.936455,0.000303
169,11,2,34,167,0.169154,0.846154,0.244444,0.846154,0.755556,0.37931,0.21028,4.023932,0.00034
170,11,2,33,168,0.164179,0.846154,0.25,0.846154,0.75,0.385965,0.205607,4.115385,0.000584
171,11,2,32,169,0.159204,0.846154,0.255814,0.846154,0.744186,0.392857,0.200935,4.211091,0.00065
172,11,2,31,170,0.154229,0.846154,0.261905,0.846154,0.738095,0.4,0.196262,4.311355,0.000835
173,11,2,30,171,0.149254,0.846154,0.268293,0.846154,0.731707,0.407407,0.191589,4.41651,0.000865
174,11,2,29,172,0.144279,0.846154,0.275,0.846154,0.725,0.415094,0.186916,4.526923,0.001061
175,11,2,28,173,0.139303,0.846154,0.282051,0.846154,0.717949,0.423077,0.182243,4.642998,0.001276
